question,file_a,file_b,score,jaccard,control,idents,loops,calls
1,q1_amfgs.c,q1_gtc.c,0.978571,1.000000,1.000000,0.857143,1.000000,1.000000
1,q1_amfgs.c,q1_dlc.c,0.905263,1.000000,1.000000,0.368421,1.000000,1.000000
1,q1_amfgs.c,q1_jcvg.c,0.905263,1.000000,1.000000,0.368421,1.000000,1.000000
1,q1_dlc.c,q1_jcvg.c,0.905263,1.000000,1.000000,0.368421,1.000000,1.000000
1,q1_jcvg.c,q1_vgjda2.c,0.903590,0.858974,1.000000,0.733333,1.000000,1.000000
1,q1_bssah.c,q1_mahf.c,0.900000,1.000000,1.000000,0.333333,1.000000,1.000000
1,q1_dlc.c,q1_gtc.c,0.895000,1.000000,1.000000,0.300000,1.000000,1.000000
1,q1_gtc.c,q1_jcvg.c,0.895000,1.000000,1.000000,0.300000,1.000000,1.000000
1,q1_lbas2.c,q1_mahf.c,0.868354,0.670886,1.000000,1.000000,1.000000,1.000000
1,q1_amfgs.c,q1_chccp.c,0.864719,0.870130,1.000000,0.444444,1.000000,1.000000
1,q1_chccp.c,q1_gtc.c,0.864719,0.870130,1.000000,0.444444,1.000000,1.000000
1,q1_amfgs.c,q1_vgjda2.c,0.848853,0.858974,1.000000,0.368421,1.000000,1.000000
1,q1_dlc.c,q1_vgjda2.c,0.848853,0.858974,1.000000,0.368421,1.000000,1.000000
1,q1_fcs.c,q1_wmsn.c,0.848247,0.883117,1.000000,0.300000,1.000000,1.000000
1,q1_fem.c,q1_lgof.c,0.848247,0.883117,1.000000,0.300000,1.000000,1.000000
1,q1_chccp.c,q1_dlc.c,0.843052,0.870130,1.000000,0.300000,1.000000,1.000000
1,q1_chccp.c,q1_jcvg.c,0.843052,0.870130,1.000000,0.300000,1.000000,1.000000
1,q1_jppp.c,q1_lbas2.c,0.838889,0.847222,1.000000,0.333333,1.000000,1.000000
1,q1_gtc.c,q1_vgjda2.c,0.838590,0.858974,1.000000,0.300000,1.000000,1.000000
1,q1_fem.c,q1_mfpc.c,0.837105,0.855263,1.000000,0.300000,1.000000,1.000000
1,q1_afo.c,q1_dlc.c,0.834699,0.686747,1.000000,0.733333,1.000000,1.000000
1,q1_amfgs.c,q1_lgof.c,0.823016,0.611111,1.000000,0.857143,1.000000,1.000000
1,q1_gtc.c,q1_lgof.c,0.823016,0.611111,1.000000,0.857143,1.000000,1.000000
1,q1_dlc.c,q1_fem.c,0.807059,0.694118,1.000000,0.529412,1.000000,1.000000
1,q1_afo.c,q1_fem.c,0.804111,0.686747,1.000000,0.529412,1.000000,1.000000
1,q1_chccp.c,q1_vgjda2.c,0.802317,0.768293,1.000000,0.300000,1.000000,1.000000
1,q1_lgof.c,q1_mfpc.c,0.796235,0.753086,1.000000,0.300000,1.000000,1.000000
1,q1_amfgs.c,q1_fem.c,0.782910,0.694118,1.000000,0.368421,1.000000,1.000000
1,q1_fem.c,q1_jcvg.c,0.782910,0.694118,1.000000,0.368421,1.000000,1.000000
