question,file_a,file_b,jaccard_k_shingles,cosine_tokens
1,q1_abscl.c,q1_acmm.c,0.081081,0.936359
1,q1_abscl.c,q1_afo.c,0.092308,0.983066
1,q1_abscl.c,q1_amfgs.c,0.106061,0.973415
1,q1_abscl.c,q1_argmq.c,0.075862,0.942040
1,q1_abscl.c,q1_barlf.c,0.115942,0.976931
1,q1_abscl.c,q1_bgnp.c,0.137405,0.963325
1,q1_abscl.c,q1_bpol.c,0.046512,0.508599
1,q1_abscl.c,q1_bssah.c,0.093750,0.957131
1,q1_abscl.c,q1_chccp.c,0.106061,0.976126
1,q1_abscl.c,q1_dfm.c,0.132353,0.976931
1,q1_abscl.c,q1_dgsx.c,0.051471,0.893860
1,q1_abscl.c,q1_dlc.c,0.106061,0.973415
1,q1_abscl.c,q1_dsob.c,0.044118,0.855457
1,q1_abscl.c,q1_fal.c,0.058394,0.941562
1,q1_abscl.c,q1_fcs.c,0.131783,0.973415
1,q1_abscl.c,q1_fem.c,0.097744,0.973415
1,q1_abscl.c,q1_gtc.c,0.106061,0.973415
1,q1_abscl.c,q1_igds.c,0.061538,0.955587
1,q1_abscl.c,q1_jagd.c,0.000000,0.000000
1,q1_abscl.c,q1_jcvg.c,0.106061,0.973415
1,q1_abscl.c,q1_jppp.c,0.110236,0.952732
1,q1_abscl.c,q1_lbas2.c,0.120000,0.957131
1,q1_abscl.c,q1_lgof.c,0.097015,0.972140
1,q1_abscl.c,q1_lrvo.c,0.089552,0.976126
1,q1_abscl.c,q1_mahf.c,0.093750,0.957131
1,q1_abscl.c,q1_maolf.c,0.039216,0.832943
1,q1_abscl.c,q1_meso.c,0.047297,0.911204
1,q1_abscl.c,q1_mfpc.c,0.100000,0.974481
1,q1_abscl.c,q1_mgfm.c,0.044776,0.880342
1,q1_abscl.c,q1_mmrm.c,0.132812,0.970548
1,q1_abscl.c,q1_mtd.c,0.028369,0.847494
1,q1_abscl.c,q1_rvm2.c,0.047619,0.921325
1,q1_abscl.c,q1_smbsa.c,0.116279,0.980213
1,q1_abscl.c,q1_vgjda2.c,0.105263,0.966218
1,q1_abscl.c,q1_wmsn.c,0.130769,0.972140
1,q1_acmm.c,q1_afo.c,0.222222,0.948397
